DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,grade,K12Enr,FreeK12,RedK12,LEPK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEP-EC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,07,104,29,13,,15,104,29,13,,15,01,Aitkin                                       ,33,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,08,97,24,16,,17,97,24,16,,17,01,Aitkin                                       ,33,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,09,111,21,11,,15,111,21,11,,15,01,Aitkin                                       ,33,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,10,122,31,18,,18,122,31,18,,18,01,Aitkin                                       ,33,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,11,101,26,9,,7,101,26,9,,7,01,Aitkin                                       ,33,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,12,95,23,12,,5,95,23,12,,5,01,Aitkin                                       ,33,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,All Grades,630,154,79,,77,630,154,79,,77,01,Aitkin                                       ,33,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,01,90,23,7,,11,90,23,7,,11,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,02,103,24,15,,14,103,24,15,,14,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,03,82,17,11,,7,82,17,11,,7,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,04,89,21,11,,14,89,21,11,,14,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,05,100,23,15,,13,100,23,15,,13,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,06,97,25,16,,18,97,25,16,,18,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,All Grades,643,149,82,,83,657,153,83,,97,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,KG,82,16,7,,6,82,16,7,,6,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,EC,,,,,,14,4,1,,14,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,01,7,2,2,,,7,2,2,,,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,02,5,2,3,,,5,2,3,,,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,03,5,2,1,,,5,2,1,,,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,04,9,3,3,,,9,3,3,,,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,All Grades,31,12,10,,,31,12,10,,,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,KG,5,3,1,,,5,3,1,,,01,Aitkin                                       ,10,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03 ,10,2,,,,1,2,,,,1,01,Aitkin                                       ,42,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03 ,11,1,,,,,1,,,,,01,Aitkin                                       ,42,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03 ,12,4,,,,1,4,,,,1,01,Aitkin                                       ,42,
05-06,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03 ,All Grades,7,,,,2,7,,,,2,01,Aitkin                                       ,42,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,023,SPECIAL ED - SPEECH ONLY           ,11,11 ,All Grades,,,,,,77,16,1,,77,27,Hennepin                                     ,50,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,023,SPECIAL ED - SPEECH ONLY           ,11,11 ,EC,,,,,,77,16,1,,77,27,Hennepin                                     ,50,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,01,82,20,6,5,11,82,20,6,5,11,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,02,70,21,3,2,15,70,21,3,2,15,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,03,50,12,7,8,7,50,12,7,8,7,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,04,59,18,4,4,15,59,18,4,4,15,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,05,53,13,1,3,5,53,13,1,3,5,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,All Grades,400,102,26,23,67,400,102,26,23,67,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,KG,86,18,5,1,14,86,18,5,1,14,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,104,LAKE HARRIET LOWER ELEMENTARY      ,11,11 ,01,103,12,3,,8,103,12,3,,8,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,104,LAKE HARRIET LOWER ELEMENTARY      ,11,11 ,02,105,7,2,1,8,105,7,2,1,8,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,104,LAKE HARRIET LOWER ELEMENTARY      ,11,11 ,All Grades,351,26,7,1,27,351,26,7,1,27,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,104,LAKE HARRIET LOWER ELEMENTARY      ,11,11 ,KG,143,7,2,,11,143,7,2,,11,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11 ,01,93,76,5,47,14,93,76,5,47,14,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11 ,02,64,47,8,28,5,64,47,8,28,5,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11 ,03,67,48,7,27,12,67,48,7,27,12,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11 ,04,71,52,7,36,8,71,52,7,36,8,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11 ,05,65,56,2,33,11,65,56,2,33,11,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11 ,All Grades,441,338,38,213,61,442,339,38,213,62,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11 ,KG,81,59,9,42,11,81,59,9,42,11,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11 ,EC,,,,,,1,1,,,1,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,106,BARTON OPEN ELEMENTARY             ,11,11 ,01,88,20,5,13,5,88,20,5,13,5,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,106,BARTON OPEN ELEMENTARY             ,11,11 ,02,89,18,5,12,6,89,18,5,12,6,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,106,BARTON OPEN ELEMENTARY             ,11,11 ,03,84,19,6,13,6,84,19,6,13,6,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,106,BARTON OPEN ELEMENTARY             ,11,11 ,04,80,7,1,2,3,80,7,1,2,3,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,106,BARTON OPEN ELEMENTARY             ,11,11 ,05,80,15,3,9,6,80,15,3,9,6,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,106,BARTON OPEN ELEMENTARY             ,11,11 ,06,93,15,9,8,11,93,15,9,8,11,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,106,BARTON OPEN ELEMENTARY             ,11,11 ,07,75,18,2,9,7,75,18,2,9,7,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,106,BARTON OPEN ELEMENTARY             ,11,11 ,08,82,12,5,5,10,82,12,5,5,10,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,106,BARTON OPEN ELEMENTARY             ,11,11 ,All Grades,761,134,38,79,56,761,134,38,79,56,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,106,BARTON OPEN ELEMENTARY             ,11,11 ,KG,90,10,2,8,2,90,10,2,8,2,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,107,BETHUNE ELEMENTARY                 ,11,11 ,01,38,35,,9,4,38,35,,9,4,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,107,BETHUNE ELEMENTARY                 ,11,11 ,02,34,25,3,5,7,34,25,3,5,7,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,107,BETHUNE ELEMENTARY                 ,11,11 ,03,36,32,1,8,6,36,32,1,8,6,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,107,BETHUNE ELEMENTARY                 ,11,11 ,04,39,35,2,7,8,39,35,2,7,8,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,107,BETHUNE ELEMENTARY                 ,11,11 ,05,32,32,,3,7,32,32,,3,7,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,107,BETHUNE ELEMENTARY                 ,11,11 ,All Grades,226,200,10,36,40,260,227,11,36,74,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,107,BETHUNE ELEMENTARY                 ,11,11 ,KG,47,41,4,4,8,47,41,4,4,8,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,107,BETHUNE ELEMENTARY                 ,11,11 ,EC,,,,,,34,27,1,,34,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,110,BURROUGHS ELEMENTARY               ,11,11 ,01,128,27,4,20,5,128,27,4,20,5,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,110,BURROUGHS ELEMENTARY               ,11,11 ,02,113,29,4,26,4,113,29,4,26,4,27,Hennepin                                     ,10,
05-06,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,110,BURROUGHS ELEMENTARY               ,11,11 ,03,105,21,,17,3,105,21,,17,3,27,Hennepin                                     ,10,
