DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,grade,K12Enr,FreeK12,RedK12,LEPK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEP-EC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,07,99,23,14,1,16,99,23,14,1,16,01,Aitkin                                       ,33
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,08,104,28,12,,11,104,28,12,,11,01,Aitkin                                       ,33
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,09,94,23,14,1,13,94,23,14,1,13,01,Aitkin                                       ,33
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,10,111,21,15,,15,111,21,15,,15,01,Aitkin                                       ,33
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,11,122,24,19,,16,122,24,19,,16,01,Aitkin                                       ,33
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,12,105,22,10,,5,105,22,10,,5,01,Aitkin                                       ,33
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,All Grades,635,141,84,2,76,635,141,84,2,76,01,Aitkin                                       ,33
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,01,78,17,9,,7,78,17,9,,7,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,02,93,21,12,,12,93,21,12,,12,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,03,108,27,11,,12,108,27,11,,12,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,04,82,20,11,,8,82,20,11,,8,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,05,99,20,14,,15,99,20,14,,15,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,06,102,19,18,,12,102,19,18,,12,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,All Grades,650,153,89,,75,665,157,89,,90,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,KG,88,29,14,,9,88,29,14,,9,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,EC,,,,,,15,4,,,15,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,01,5,3,1,,,5,3,1,,,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,02,7,2,2,,,7,2,2,,,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,03,3,1,2,,,3,1,2,,,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,04,4,2,1,,,4,2,1,,,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,All Grades,29,14,7,,1,29,14,7,,1,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,003,PALISADE ELEMENTARY                ,03,03 ,KG,10,6,1,,1,10,6,1,,1,01,Aitkin                                       ,10
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03 ,10,1,,,,1,1,,,,1,01,Aitkin                                       ,42
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03 ,11,2,1,,,1,2,1,,,1,01,Aitkin                                       ,42
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03 ,12,3,,,,,3,,,,,01,Aitkin                                       ,42
06-07,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03 ,All Grades,6,1,,,2,6,1,,,2,01,Aitkin                                       ,42
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,023,SPECIAL ED - SPEECH ONLY           ,11,11 ,All Grades,,,,,,85,20,3,12,85,27,Hennepin                                     ,50
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,023,SPECIAL ED - SPEECH ONLY           ,11,11 ,EC,,,,,,85,20,3,12,85,27,Hennepin                                     ,50
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,01,80,19,5,,10,80,19,5,,10,27,Hennepin                                     ,10
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,02,82,20,6,3,12,82,20,6,3,12,27,Hennepin                                     ,10
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,03,67,18,4,1,16,67,18,4,1,16,27,Hennepin                                     ,10
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,04,57,16,6,5,11,57,16,6,5,11,27,Hennepin                                     ,10
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,05,62,16,,5,19,62,16,,5,19,27,Hennepin                                     ,10
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,All Grades,426,114,26,18,79,426,114,26,18,79,27,Hennepin                                     ,10
06-07,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11 ,KG,78,25,5,4,11,78,25,5,4,11,27,Hennepin                                     ,10
