DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEP-EC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,SchoolClassification,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,07,102,26,15,0,11,,,,,,01,Aitkin                                       ,33,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,08,105,29,13,1,18,,,,,,01,Aitkin                                       ,33,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,09,102,26,11,0,13,,,,,,01,Aitkin                                       ,33,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,10,91,22,15,1,11,,,,,,01,Aitkin                                       ,33,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,11,110,25,12,0,15,,,,,,01,Aitkin                                       ,33,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,12,111,22,11,0,12,,,,,,01,Aitkin                                       ,33,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03 ,All Grades,621,150,77,2,80,621,150,77,2,80,01,Aitkin                                       ,33,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,EC,22,5,0,0,22,,,,,,01,Aitkin                                       ,10,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,KG,71,22,12,0,8,,,,,,01,Aitkin                                       ,10,
07-08,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03 ,01,87,29,17,0,9,,,,,,01,Aitkin                                       ,10,
