DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,07,94,34,10,,,10,94,34,10,,,10,01,Aitkin                                       ,07-12,33
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,08,87,27,9,,,8,87,27,9,,,8,01,Aitkin                                       ,07-12,33
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,09,101,30,10,,,14,101,30,10,,,14,01,Aitkin                                       ,07-12,33
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,10,109,32,10,,,17,109,32,10,,,17,01,Aitkin                                       ,07-12,33
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,11,94,26,13,,,7,94,26,13,,,7,01,Aitkin                                       ,07-12,33
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,12,97,25,8,,,17,97,25,8,,,17,01,Aitkin                                       ,07-12,33
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,All Grades,582,174,60,,,73,582,174,60,,,73,01,Aitkin                                       ,07-12,33
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,EC,,,,,,,20,13,,,,20,01,Aitkin                                       ,EC-06,10
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,KG,92,39,10,,,15,92,39,10,,,15,01,Aitkin                                       ,EC-06,10
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,01,89,35,7,,,14,89,35,7,,,14,01,Aitkin                                       ,EC-06,10
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,02,82,27,13,,,14,82,27,13,,,14,01,Aitkin                                       ,EC-06,10
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,03,94,41,6,,,9,94,41,6,,,9,01,Aitkin                                       ,EC-06,10
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,04,99,26,10,,,12,99,26,10,,,12,01,Aitkin                                       ,EC-06,10
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,05,105,40,10,,,13,105,40,10,,,13,01,Aitkin                                       ,EC-06,10
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,06,77,23,10,,,11,77,23,10,,,11,01,Aitkin                                       ,EC-06,10
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,All Grades,638,231,66,,,88,658,244,66,,,108,01,Aitkin                                       ,EC-06,10
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03,09,1,,,,,,1,,,,,,01,Aitkin                                       ,09-12,42
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03,11,1,,,,,,1,,,,,,01,Aitkin                                       ,09-12,42
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03,12,9,4,,,,2,9,4,,,,2,01,Aitkin                                       ,09-12,42
13-14,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,006,AITKIN ALTERNATIVE LEARNING PROGRAM,03,03,All Grades,11,4,,,,2,11,4,,,,2,01,Aitkin                                       ,09-12,42
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,023,SPECIAL ED - SPEECH ONLY           ,11,11,EC,,,,,,,61,12,2,3,,61,27,Hennepin                                     ,EC-EC,50
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,023,SPECIAL ED - SPEECH ONLY           ,11,11,All Grades,,,,,,,61,12,2,3,,61,27,Hennepin                                     ,EC-EC,50
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11,EC,,,,,,,18,7,,2,,18,27,Hennepin                                     ,EC-05,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11,KG,108,30,3,6,5,6,108,30,3,6,5,6,27,Hennepin                                     ,EC-05,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11,01,97,26,2,10,10,4,97,26,2,10,10,4,27,Hennepin                                     ,EC-05,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11,02,110,21,3,7,7,5,110,21,3,7,7,5,27,Hennepin                                     ,EC-05,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11,03,101,18,2,11,10,7,101,18,2,11,10,7,27,Hennepin                                     ,EC-05,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11,04,111,33,2,12,12,17,111,33,2,12,12,17,27,Hennepin                                     ,EC-05,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11,05,84,25,3,12,11,8,84,25,3,12,11,8,27,Hennepin                                     ,EC-05,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,103,ARMATAGE ELEMENTARY                ,11,11,All Grades,611,153,15,58,55,47,629,160,15,60,55,65,27,Hennepin                                     ,EC-05,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,104,LAKE HARRIET LOWER ELEMENTARY      ,11,11,KG,131,10,2,5,4,7,131,10,2,5,4,7,27,Hennepin                                     ,KG-03,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,104,LAKE HARRIET LOWER ELEMENTARY      ,11,11,01,144,12,,5,4,9,144,12,,5,4,9,27,Hennepin                                     ,KG-03,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,104,LAKE HARRIET LOWER ELEMENTARY      ,11,11,02,123,6,1,1,1,5,123,6,1,1,1,5,27,Hennepin                                     ,KG-03,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,104,LAKE HARRIET LOWER ELEMENTARY      ,11,11,03,132,8,2,5,2,9,132,8,2,5,2,9,27,Hennepin                                     ,KG-03,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,104,LAKE HARRIET LOWER ELEMENTARY      ,11,11,All Grades,530,36,5,16,11,30,530,36,5,16,11,30,27,Hennepin                                     ,KG-03,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11,EC,,,,,,,4,4,,2,,4,27,Hennepin                                     ,EC-05,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11,KG,99,78,7,29,29,12,99,78,7,29,29,12,27,Hennepin                                     ,EC-05,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11,01,97,78,4,44,43,18,97,78,4,44,43,18,27,Hennepin                                     ,EC-05,10
13-14,27,Hennepin                                     ,0001,03,MINNEAPOLIS PUBLIC SCHOOL DIST.    ,105,BANCROFT ELEMENTARY                ,11,11,02,93,83,3,41,41,19,93,83,3,41,41,19,27,Hennepin                                     ,EC-05,10
