DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,HMLK12,EC12Enr,Free-EC12,Red-EC12,LEPIdentifiedEC12,LEPServedEC12,SPE-EC12,HML-EC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,07,102,28,17,,,8,,102,28,17,,,8,,01,Aitkin                                       ,07-12,33
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,08,82,25,8,,,14,,82,25,8,,,14,,01,Aitkin                                       ,07-12,33
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,09,89,28,14,,,10,,89,28,14,,,10,,01,Aitkin                                       ,07-12,33
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,10,88,24,10,,,6,,88,24,10,,,6,,01,Aitkin                                       ,07-12,33
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,11,92,22,7,,,15,,92,22,7,,,15,,01,Aitkin                                       ,07-12,33
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,12,102,22,12,,,14,,102,22,12,,,14,,01,Aitkin                                       ,07-12,33
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,All Grades,555,149,68,,,67,,555,149,68,,,67,,01,Aitkin                                       ,07-12,33
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,EC,,,,,,,,13,4,3,,,13,,01,Aitkin                                       ,EC-06,10
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,KG,83,35,10,,,14,,83,35,10,,,14,,01,Aitkin                                       ,EC-06,10
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,01,67,25,9,,,12,,67,25,9,,,12,,01,Aitkin                                       ,EC-06,10
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,02,94,33,16,,,12,,94,33,16,,,12,,01,Aitkin                                       ,EC-06,10
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,03,92,44,9,,,14,,92,44,9,,,14,,01,Aitkin                                       ,EC-06,10
15-16,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,04,81,23,14,,,8,,81,23,14,,,8,,01,Aitkin                                       ,EC-06,10
