DataYear,DistrictCouNum,DistrictCountyName,districtNumber,districtType,DistrictName,schoolNumber,SchoolName,ECSUNumber,EconomicDevelopmentRegion,Grade,K12Enr,FreeK12,RedK12,LEPIdentifiedK12,LEPServedK12,SPEK12,HMLK12,EC12Enr,FreeEC12,RedEC12,LEPIdentifiedEC12,LEPServedEC12,SPEEC12,HMLEC12,SchoolLocationCountyNumber,SchoolLocationCountyName,MinMaxGrade,SchoolClassification
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,07,107,39,,,,14,,107,39,,,,14,,01,Aitkin                                       ,07-12,33
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,08,107,46,,,,12,,107,46,,,,12,,01,Aitkin                                       ,07-12,33
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,09,66,21,,,,11,,66,21,,,,11,,01,Aitkin                                       ,07-12,33
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,10,89,35,,,,11,,89,35,,,,11,,01,Aitkin                                       ,07-12,33
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,11,81,30,,,,5,,81,30,,,,5,,01,Aitkin                                       ,07-12,33
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,12,94,29,,,,17,,94,29,,,,17,,01,Aitkin                                       ,07-12,33
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,001,AITKIN SECONDARY SCHOOL            ,03,03,All Grades,544,200,,,,70,,544,200,,,,70,,01,Aitkin                                       ,07-12,33
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,EC,,,,,,,,22,11,,,,22,,01,Aitkin                                       ,EC-06,10
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,KG,74,34,,,,10,,74,34,,,,10,,01,Aitkin                                       ,EC-06,10
16-17,01,Aitkin                                       ,0001,01,AITKIN PUBLIC SCHOOL DISTRICT      ,002,RIPPLESIDE ELEMENTARY              ,03,03,01,84,46,,,,16,,84,46,,,,16,,01,Aitkin                                       ,EC-06,10
