"","datayear","region","districttype","district","free","sped","lep","enrll"
"1","05-06","Arrowhead","Charter","BIRCH GROVE COMMUNITY SCHOOL",18,3,0,32
"2","05-06","Arrowhead","Charter","DULUTH PUBLIC SCHOOLS ACADEMY",380,126,0,773
"3","05-06","Arrowhead","Charter","GREAT EXPECTATIONS",0,6,0,36
"4","05-06","Arrowhead","Charter","HARBOR CITY INTERNATIONAL CHARTER",79,40,3,205
"5","05-06","Arrowhead","Charter","LAKE SUPERIOR HIGH SCHOOL",48,21,0,86
"6","05-06","Arrowhead","Charter","NORTH SHORE COMMUNITY SCHOOL",99,21,0,253
"7","05-06","Arrowhead","Charter","NORTHERN LIGHTS COMMUNITY SCHOOL",29,19,0,81
"8","05-06","Arrowhead","Cooperatives","NORTHLAND LEARNING CENTER",78,65,0,133
"9","05-06","Arrowhead","Independent","AITKIN PUBLIC SCHOOL DISTRICT",486,162,0,1311
"10","05-06","Arrowhead","Independent","BARNUM PUBLIC SCHOOL DISTRICT",245,97,0,679
"11","05-06","Arrowhead","Independent","CARLTON PUBLIC SCHOOL DISTRICT",174,72,0,579
"12","05-06","Arrowhead","Independent","CHISHOLM PUBLIC SCHOOL DISTRICT",283,107,1,749
"13","05-06","Arrowhead","Independent","CLOQUET PUBLIC SCHOOL DISTRICT",785,269,2,2271
"14","05-06","Arrowhead","Independent","COOK COUNTY PUBLIC SCHOOLS",166,62,6,594
"15","05-06","Arrowhead","Independent","CROMWELL-WRIGHT PUBLIC SCHOOLS",128,38,0,313
"16","05-06","Arrowhead","Independent","DEER RIVER PUBLIC SCHOOL DISTRICT",551,157,0,970
"17","05-06","Arrowhead","Independent","DULUTH PUBLIC SCHOOL DISTRICT",3777,1295,51,10431
"18","05-06","Arrowhead","Independent","ELY PUBLIC SCHOOL DISTRICT",179,79,0,637
"19","05-06","Arrowhead","Independent","ESKO PUBLIC SCHOOL DISTRICT",100,116,1,1122
"20","05-06","Arrowhead","Independent","EVELETH-GILBERT SCHOOL DISTRICT",437,151,0,1327
"21","05-06","Arrowhead","Independent","FLOODWOOD PUBLIC SCHOOL DISTRICT",177,74,0,395
"22","05-06","Arrowhead","Independent","GRAND RAPIDS PUBLIC SCHOOL DISTRICT",1183,494,0,3872
"23","05-06","Arrowhead","Independent","GREENWAY PUBLIC SCHOOL DISTRICT",557,191,0,1262
"24","05-06","Arrowhead","Independent","HERMANTOWN PUBLIC SCHOOL DISTRICT",245,201,0,1994
"25","05-06","Arrowhead","Independent","HIBBING PUBLIC SCHOOL DISTRICT",918,311,4,2510
"26","05-06","Arrowhead","Independent","HILL CITY PUBLIC SCHOOL DISTRICT",181,55,0,328
"27","05-06","Arrowhead","Independent","INTERNATIONAL FALLS SCHOOL DISTRICT",412,155,8,1322
"28","05-06","Arrowhead","Independent","LAKE SUPERIOR PUBLIC SCHOOL DIST.",406,223,0,1575
"29","05-06","Arrowhead","Independent","LITTLEFORK-BIG FALLS SCHOOL DIST.",126,40,0,334
"30","05-06","Arrowhead","Independent","MCGREGOR PUBLIC SCHOOL DISTRICT",275,74,0,452
"31","05-06","Arrowhead","Independent","MESABI EAST SCHOOL DISTRICT",348,159,0,900
"32","05-06","Arrowhead","Independent","MOOSE LAKE PUBLIC SCHOOL DISTRICT",219,106,0,740
"33","05-06","Arrowhead","Independent","MOUNTAIN IRON-BUHL SCHOOL DISTRICT",201,122,0,624
"34","05-06","Arrowhead","Independent","NASHWAUK-KEEWATIN SCHOOL DISTRICT",285,120,0,625
"35","05-06","Arrowhead","Independent","NETT LAKE PUBLIC SCHOOL DISTRICT",53,10,0,71
"36","05-06","Arrowhead","Independent","PROCTOR PUBLIC SCHOOL DISTRICT",413,184,3,1754
"37","05-06","Arrowhead","Independent","SOUTH KOOCHICHING SCHOOL DISTRICT",194,73,0,365
"38","05-06","Arrowhead","Independent","ST. LOUIS COUNTY SCHOOL DISTRICT",904,337,0,2250
"39","05-06","Arrowhead","Independent","VIRGINIA PUBLIC SCHOOL DISTRICT",549,170,4,1567
"40","05-06","Arrowhead","Independent","WRENSHALL PUBLIC SCHOOL DISTRICT",126,40,0,364
"41","05-06","Central","Charter","GREAT RIVER EDUCATION CENTER",0,12,0,33
"42","05-06","Central","Charter","KALEIDOSCOPE CHARTER SCHOOL",24,25,0,221
"43","05-06","Central","Charter","STRIDE ACADEMY CHARTER SCHOOL",81,39,0,166
"44","05-06","Central","Charter","SWAN RIVER MONTESSORI CHARTER SCH",9,5,0,109
"45","05-06","Central","Cooperatives","CENTRAL MINNESOTA JT. POWERS DIST.",21,3,1,110
"46","05-06","Central","Ed Districts","BENTON-STEARNS ED. DISTRICT",11,27,0,27
"47","05-06","Central","Ed Districts","WEST CENTRAL EDUCATION DISTRICT",18,18,0,49
"48","05-06","Central","Independent","ALBANY PUBLIC SCHOOL DISTRICT",280,182,10,1567
"49","05-06","Central","Independent","ANNANDALE PUBLIC SCHOOL DISTRICT",383,212,12,1879
"50","05-06","Central","Independent","BECKER PUBLIC SCHOOL DISTRICT",418,301,26,2589
"51","05-06","Central","Independent","BELGRADE-BROOTEN-ELROSA SCHOOL DIST",316,84,28,748
"52","05-06","Central","Independent","BIG LAKE PUBLIC SCHOOL DISTRICT",585,390,56,3395
"53","05-06","Central","Independent","BUFFALO PUBLIC SCHOOL DISTRICT",1079,598,106,5432
"54","05-06","Central","Independent","DASSEL-COKATO PUBLIC SCHOOL DIST.",596,192,9,2275
"55","05-06","Central","Independent","DELANO PUBLIC SCHOOL DISTRICT",236,209,4,2050
"56","05-06","Central","Independent","ELK RIVER PUBLIC SCHOOL DISTRICT",1495,1327,304,11294
"57","05-06","Central","Independent","FOLEY PUBLIC SCHOOL DISTRICT",420,217,6,1662
"58","05-06","Central","Independent","HOLDINGFORD PUBLIC SCHOOL DISTRICT",210,98,0,1055
"59","05-06","Central","Independent","HOWARD LAKE-WAVERLY-WINSTED",224,127,23,996
"60","05-06","Central","Independent","KIMBALL PUBLIC SCHOOL DISTRICT",182,99,0,758
"61","05-06","Central","Independent","MAPLE LAKE PUBLIC SCHOOL DISTRICT",160,122,1,988
"62","05-06","Central","Independent","MELROSE PUBLIC SCHOOL DISTRICT",418,151,173,1417
"63","05-06","Central","Independent","MONTICELLO PUBLIC SCHOOL DISTRICT",718,534,101,3892
"64","05-06","Central","Independent","PAYNESVILLE PUBLIC SCHOOL DISTRICT",363,168,9,1087
"65","05-06","Central","Independent","ROCKFORD PUBLIC SCHOOL DISTRICT",383,201,34,1628
"66","05-06","Central","Independent","ROCORI PUBLIC SCHOOL DISTRICT",473,248,47,2318
"67","05-06","Central","Independent","SARTELL-ST. STEPHEN SCHOOL DISTRICT",331,318,25,2985
"68","05-06","Central","Independent","SAUK CENTRE PUBLIC SCHOOL DISTRICT",308,140,11,1054
"69","05-06","Central","Independent","SAUK RAPIDS PUBLIC SCHOOL DISTRICT",979,515,24,3712
"70","05-06","Central","Independent","ST. CLOUD PUBLIC SCHOOL DISTRICT",3322,1588,735,9302
"71","05-06","Central","Independent","ST. MICHAEL-ALBERTVILLE SCHOOL DIST",342,389,102,4168
"72","05-06","Central","Sped Coops","MEEKER & WRIGHT SPECIAL EDUCATION",15,70,0,89
"73","05-06","Central","Voc Coops","WRIGHT TECHNICAL CENTER",0,0,0,163
"74","05-06","East Central","Charter","TRIO WOLF CREEK DISTANCE LEARNING",8,2,0,89
"75","05-06","East Central","Independent","BRAHAM PUBLIC SCHOOL DISTRICT",310,86,8,903
